ds,y
30-05-2016,1069.5449
31-05-2016,1059.2362
01-06-2016,1084.5743
02-06-2016,1099.9890
03-06-2016,1099.0255
06-06-2016,1100.2781
07-06-2016,1106.2513
08-06-2016,1095.8944
09-06-2016,1072.7723
10-06-2016,1082.2140
13-06-2016,1080.9614
14-06-2016,1074.2657
15-06-2016,1082.1658
16-06-2016,1067.0399
17-06-2016,1072.4352
20-06-2016,1081.9731
21-06-2016,1076.3370
22-06-2016,1067.8107
23-06-2016,1062.4154
24-06-2016,1059.7660
27-06-2016,1057.8875
28-06-2016,1066.7026
29-06-2016,1070.0265
30-06-2016,1069.0631
01-07-2016,1092.1372
04-07-2016,1102.5421
05-07-2016,1097.4360
07-07-2016,1081.9249
08-07-2016,1080.7688
11-07-2016,1108.2264
12-07-2016,1121.3289
13-07-2016,1123.2557
14-07-2016,1111.3093
15-07-2016,1110.2976
18-07-2016,1109.1898
19-07-2016,1116.7045
20-07-2016,1143.1023
21-07-2016,1144.4030
22-07-2016,1160.5884
25-07-2016,1160.1067
26-07-2016,1143.0541
27-07-2016,1146.2816
28-07-2016,1151.7729
29-07-2016,1154.6633
01-08-2016,1132.3600
02-08-2016,1138.1887
03-08-2016,1129.8069
04-08-2016,1108.6599
05-08-2016,1140.8383
08-08-2016,1149.2682
09-08-2016,1141.3201
10-08-2016,1117.4752
11-08-2016,1132.9381
12-08-2016,1150.3762
16-08-2016,1215.7444
17-08-2016,1227.5463
18-08-2016,1228.9434
19-08-2016,1252.4508
22-08-2016,1255.9192
23-08-2016,1266.2279
24-08-2016,1298.5505
25-08-2016,1288.8683
26-08-2016,1283.0397
29-08-2016,1255.6301
30-08-2016,1265.9869
31-08-2016,1274.1278
01-09-2016,1269.6478
02-09-2016,1266.6613
06-09-2016,1281.1609
07-09-2016,1269.3590
08-09-2016,1282.8470
09-09-2016,1275.7175
12-09-2016,1256.3046
14-09-2016,1262.2777
15-09-2016,1288.8683
16-09-2016,1293.4926
19-09-2016,1295.3231
20-09-2016,1287.5194
21-09-2016,1280.6311
22-09-2016,1280.3903
23-09-2016,1286.1224
